Timestamp,Acceleration Magnitude,Gyro Magnitude,Roll,Pitch
1761181814995,1.00481,0.12740,-0.00003,-0.00059
1761181814996,1.00563,0.15010,-0.00002,-0.00060
1761181814997,1.00530,0.21830,-0.00002,-0.00061
1761181814998,1.00368,0.20078,-0.00001,-0.00061
1761181814999,1.00449,0.09198,-0.00002,-0.00062
1761181815001,1.00449,0.19054,-0.00002,-0.00063
1761181815002,1.00514,0.22676,-0.00001,-0.00064
1761181815003,1.00270,0.34705,-0.00000,-0.00064
1761181815004,1.00107,0.29561,0.00001,-0.00064
1761181814996,1.00025,0.18393,0.00001,-0.00064
1761181814997,1.00237,0.05627,0.00000,-0.00064
1761181814998,1.00222,0.22879,0.00000,-0.00066
1761181814999,1.00303,0.07843,-0.00001,-0.00066
1761181815000,1.00238,0.08534,-0.00002,-0.00067
1761181815002,1.00465,0.23005,-0.00003,-0.00068
1761181815003,1.00546,0.51069,-0.00004,-0.00069
1761181815004,1.00481,0.14366,-0.00006,-0.00069
1761181815005,1.00367,0.10375,-0.00007,-0.00070
1761181815005,1.00335,0.14691,-0.00008,-0.00070
1761181815006,1.00302,0.31318,-0.00008,-0.00071
1761181815007,1.00237,0.14914,-0.00009,-0.00072
1761181815008,1.00253,0.32031,-0.00011,-0.00072
1761181815009,1.00335,0.61295,-0.00010,-0.00072
1761181815011,1.00384,0.16425,-0.00011,-0.00072
1761181815012,1.00416,0.30923,-0.00011,-0.00071
1761181815013,1.00448,0.26292,-0.00010,-0.00070
1761181815014,1.00497,0.28781,-0.00010,-0.00070
1761181815019,1.00432,0.17753,-0.00010,-0.00069
1761181815020,1.00416,0.16253,-0.00010,-0.00069
1761181815021,1.00351,0.29195,-0.00009,-0.00068
1761181815022,1.00286,0.20686,-0.00008,-0.00067
1761181815023,1.00286,0.36303,-0.00007,-0.00068
1761181815025,1.00253,0.22676,-0.00006,-0.00067
1761181815026,1.00286,0.07466,-0.00005,-0.00067
1761181815027,1.00237,0.13599,-0.00004,-0.00066
1761181815028,1.00204,0.06593,-0.00003,-0.00064
1761181815020,1.00416,0.08899,-0.00002,-0.00062
1761181815021,1.00432,0.11672,-0.00001,-0.00061
1761181815022,1.00660,0.55943,-0.00000,-0.00060
1761181815023,1.00677,0.12075,0.00001,-0.00057
1761181815024,1.00840,0.24415,0.00004,-0.00055
1761181815026,1.00628,0.20901,0.00006,-0.00053
1761181815027,1.00498,0.20347,0.00008,-0.00051
1761181815028,1.00318,0.28488,0.00010,-0.00049
1761181815029,1.00351,0.12494,0.00011,-0.00047
1761181815036,1.00124,0.37207,0.00015,-0.00045
1761181815037,1.00173,0.27002,0.00017,-0.00043
1761181815038,1.00238,0.21582,0.00020,-0.00041
1761181815039,1.00367,0.17880,0.00022,-0.00040
1761181815040,1.00253,0.17909,0.00023,-0.00039
1761181815042,1.00188,0.05950,0.00026,-0.00037
1761181815043,1.00205,0.09784,0.00028,-0.00037
1761181815044,1.00384,0.10442,0.00031,-0.00036
1761181815045,1.00449,0.21887,0.00034,-0.00034
1761181815038,1.00319,0.34812,0.00038,-0.00033
1761181815039,1.00172,0.28611,0.00040,-0.00031
1761181815040,1.00286,0.26137,0.00043,-0.00030
1761181815041,1.00400,0.27986,0.00045,-0.00029
1761181815042,1.00416,0.04591,0.00048,-0.00027
1761181815044,1.00335,0.22510,0.00050,-0.00026
1761181815045,1.00400,0.19752,0.00053,-0.00024
1761181815046,1.00628,0.27798,0.00055,-0.00023
1761181815047,1.00611,0.14455,0.00057,-0.00022
1761181815055,1.00497,0.18542,0.00059,-0.00021
1761181815056,1.00302,0.17297,0.00060,-0.00021
1761181815057,1.00335,0.19768,0.00061,-0.00020
1761181815058,1.00612,0.09115,0.00062,-0.00019
1761181815059,1.00758,0.17157,0.00062,-0.00018
1761181815061,1.00579,0.24822,0.00063,-0.00016
1761181815062,1.00318,0.29680,0.00062,-0.00014
1761181815063,0.99895,0.42930,0.00062,-0.00013
1761181815064,0.99928,0.25272,0.00062,-0.00012
1761181815057,1.00108,0.14199,0.00064,-0.00011
1761181815058,1.00531,0.17738,0.00064,-0.00009
1761181815059,1.00499,0.21517,0.00065,-0.00008
1761181815060,1.00335,0.21424,0.00064,-0.00007
1761181815061,1.00009,0.13426,0.00064,-0.00007
1761181815063,1.00009,0.12965,0.00063,-0.00006
1761181815064,0.99993,0.06498,0.00062,-0.00004
1761181815065,1.00400,0.23224,0.00061,-0.00003
1761181815066,1.00547,0.27907,0.00060,-0.00003
1761181815074,1.00595,0.11612,0.00058,-0.00003
1761181815075,1.00498,0.16646,0.00056,-0.00003
1761181815076,1.00367,0.08072,0.00052,-0.00003
1761181815077,1.00449,0.06899,0.00050,-0.00003
1761181815078,1.00237,0.21774,0.00047,-0.00003
1761181815080,1.00351,0.71825,0.00044,-0.00003
1761181815081,1.00269,0.43278,0.00040,-0.00004
1761181815082,1.00351,0.06582,0.00038,-0.00005
1761181815083,1.00205,0.23094,0.00037,-0.00007
1761181815094,1.00319,0.20137,0.00035,-0.00008
1761181815095,1.00237,0.09083,0.00033,-0.00010
1761181815096,1.00400,0.26608,0.00032,-0.00011
1761181815097,1.00367,0.12451,0.00030,-0.00013
1761181815098,1.00595,0.14201,0.00029,-0.00014
1761181815100,1.00628,0.10957,0.00027,-0.00016
1761181815101,1.00563,0.12602,0.00026,-0.00016
1761181815102,1.00351,0.13847,0.00024,-0.00016
1761181815103,1.00205,0.16959,0.00023,-0.00017
1761181815101,1.00123,0.47508,0.00022,-0.00019
1761181815102,1.00156,0.37045,0.00022,-0.00021
1761181815103,1.00074,0.19019,0.00021,-0.00022
1761181815104,1.00302,0.43444,0.00021,-0.00023
1761181815105,1.00432,0.26679,0.00019,-0.00024
1761181815107,1.00465,0.10369,0.00017,-0.00025
1761181815108,1.00204,0.10481,0.00016,-0.00027
1761181815109,1.00074,0.40575,0.00016,-0.00028
1761181815110,1.00432,0.13265,0.00016,-0.00029
1761181815102,1.00563,0.24855,0.00015,-0.00031
1761181815103,1.00612,0.23194,0.00014,-0.00032
1761181815104,1.00465,0.21956,0.00014,-0.00034
1761181815105,1.00318,0.34159,0.00014,-0.00035
1761181815106,1.00368,0.25700,0.00013,-0.00036
1761181815108,1.00172,0.24475,0.00012,-0.00037
1761181815109,1.00237,0.09916,0.00010,-0.00038
1761181815110,1.00139,0.18725,0.00009,-0.00039
1761181815111,1.00204,0.12451,0.00008,-0.00039
1761181815114,1.00253,0.15056,0.00006,-0.00039
1761181815115,1.00416,0.25880,0.00005,-0.00040
1761181815116,1.00481,0.48317,0.00004,-0.00041
1761181815117,1.00595,0.39930,0.00004,-0.00041
1761181815118,1.00367,0.44251,0.00004,-0.00041
1761181815120,1.00481,0.32401,0.00003,-0.00041
1761181815121,1.00563,0.28107,0.00002,-0.00040
1761181815122,1.00823,0.07505,0.00001,-0.00039
1761181815123,1.00693,0.09874,-0.00001,-0.00038
1761181815130,1.00595,0.18542,-0.00001,-0.00037
1761181815131,1.00546,0.10933,-0.00002,-0.00035
1761181815132,1.00661,0.14035,-0.00001,-0.00033
1761181815133,1.00645,0.14773,0.00000,-0.00031
1761181815134,1.00433,0.19121,0.00002,-0.00029
1761181815136,1.00400,0.35059,0.00003,-0.00027
1761181815137,1.00465,0.34861,0.00005,-0.00025
1761181815138,1.00546,0.20823,0.00008,-0.00023
1761181815139,1.00270,0.39175,0.00009,-0.00023
1761181815132,1.00270,0.35876,0.00011,-0.00023
1761181815133,1.00449,0.45266,0.00015,-0.00023
1761181815134,1.00677,0.40574,0.00018,-0.00022
1761181815135,1.00579,0.10808,0.00019,-0.00021
1761181815136,1.00563,0.11760,0.00021,-0.00019
1761181815138,1.00563,0.15808,0.00022,-0.00018
1761181815139,1.00726,0.24877,0.00023,-0.00016
1761181815140,1.00401,0.36506,0.00024,-0.00015
1761181815141,1.00302,0.27437,0.00024,-0.00014
1761181815149,0.99977,0.13011,0.00023,-0.00013
1761181815150,1.00091,0.17020,0.00022,-0.00011
1761181815151,1.00091,0.21144,0.00021,-0.00008
1761181815152,1.00254,0.20865,0.00021,-0.00006
1761181815153,1.00302,0.37579,0.00020,-0.00004
1761181815155,1.00367,0.30250,0.00019,-0.00004
1761181815156,1.00286,0.33348,0.00018,-0.00003
1761181815157,1.00335,0.14019,0.00018,-0.00001
1761181815158,1.00384,0.08588,0.00017,0.00000
1761181815151,1.00482,0.10620,0.00016,0.00002
1761181815152,1.00514,0.24646,0.00016,0.00004
1761181815153,1.00481,0.20762,0.00016,0.00005
1761181815154,1.00401,0.19633,0.00016,0.00008
1761181815155,1.00466,0.25572,0.00016,0.00011
1761181815157,1.00417,0.23269,0.00016,0.00013
1761181815158,1.00465,0.32353,0.00015,0.00016
1761181815159,1.00383,0.12567,0.00014,0.00019
1761181815160,1.00612,0.14994,0.00014,0.00021
1761181815168,1.00676,0.16316,0.00013,0.00023
1761181815169,1.00677,0.18520,0.00013,0.00024
1761181815170,1.00367,0.34369,0.00013,0.00025
1761181815171,1.00302,0.22385,0.00013,0.00026
1761181815172,1.00221,0.18596,0.00013,0.00027
1761181815174,1.00335,0.35849,0.00013,0.00027
1761181815175,1.00302,0.42166,0.00014,0.00028
1761181815176,1.00335,0.16309,0.00014,0.00028
1761181815177,1.00351,0.20508,0.00015,0.00029
1761181815170,1.00432,0.32506,0.00015,0.00030
1761181815171,1.00546,0.24111,0.00015,0.00030
1761181815172,1.00514,0.18778,0.00015,0.00030
1761181815173,1.00270,0.13562,0.00017,0.00029
1761181815174,1.00075,0.12378,0.00018,0.00028
1761181815176,1.00042,0.21864,0.00018,0.00028
1761181815177,1.00172,0.25734,0.00017,0.00027
1761181815178,1.00286,0.11636,0.00017,0.00027
1761181815179,1.00221,0.10952,0.00017,0.00027
1761181815187,1.00318,0.21233,0.00016,0.00026
1761181815188,1.00107,0.08660,0.00015,0.00026
1761181815189,1.00286,0.61874,0.00016,0.00024
1761181815190,1.00156,0.16181,0.00015,0.00023
1761181815191,1.00335,0.27766,0.00015,0.00023
1761181815193,1.00400,0.45554,0.00014,0.00022
1761181815194,1.00627,0.19087,0.00013,0.00021
1761181815195,1.00676,0.11773,0.00012,0.00021
1761181815196,1.00530,0.26237,0.00012,0.00018
1761181815205,1.00498,0.34781,0.00012,0.00016
1761181815206,1.00482,0.33488,0.00012,0.00013
1761181815207,1.00449,0.29978,0.00012,0.00009
1761181815208,1.00302,0.16013,0.00012,0.00006
1761181815209,1.00335,0.07746,0.00012,0.00003
1761181815211,1.00172,0.38091,0.00012,-0.00000
